"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
696,"QUEOO","TDWG Level 4 code","native"
696,"RHOOO","TDWG Level 4 code","native"
696,"TEXOO","TDWG Level 4 code","native"
696,"WDCOO","TDWG Level 4 code","native"
696,"WISOO","TDWG Level 4 code","native"
696,"WVAOO","TDWG Level 4 code","native"
698,"BRCOO","TDWG Level 4 code","native"
698,"CALOO","TDWG Level 4 code","native"
698,"OREOO","TDWG Level 4 code","native"
698,"WASOO","TDWG Level 4 code","native"
704,"FRAFR","TDWG Level 4 code","native"
707,"ITAIT","TDWG Level 4 code","native"
708,"SICSI","TDWG Level 4 code","native"
711,"BRCOO","TDWG Level 4 code","native"
711,"CALOO","TDWG Level 4 code","native"
711,"FLA","TDWG Level 4 code","native"
711,"FLAOO","TDWG Level 4 code","native"
711,"LABOO","TDWG Level 4 code","native"
711,"LOUOO","TDWG Level 4 code","native"
711,"MSIOO","TDWG Level 4 code","native"
711,"NCAOO","TDWG Level 4 code","native"
711,"NWHOO","TDWG Level 4 code","native"
711,"NWJOO","TDWG Level 4 code","native"
711,"NWYOO","TDWG Level 4 code","native"
711,"OHIOO","TDWG Level 4 code","native"
711,"OKLOO","TDWG Level 4 code","native"
711,"ONTOO","TDWG Level 4 code","native"
711,"PENOO","TDWG Level 4 code","native"
711,"QUEOO","TDWG Level 4 code","native"
711,"SASOO","TDWG Level 4 code","native"
711,"SCAOO","TDWG Level 4 code","native"
711,"TENOO","TDWG Level 4 code","native"
711,"VRGOO","TDWG Level 4 code","native"
711,"WDCOO","TDWG Level 4 code","native"
711,"YUKOO","TDWG Level 4 code","native"
713,"FRAFR","TDWG Level 4 code","native"
715,"ARIOO","TDWG Level 4 code","native"
715,"IDAOO","TDWG Level 4 code","native"
715,"NWMOO","TDWG Level 4 code","native"
715,"WYOOO","TDWG Level 4 code","native"
716,"FRAFR","TDWG Level 4 code","native"
720,"PAKOO","TDWG Level 4 code","native"
720,"SRLOO","TDWG Level 4 code","native"
721,"CHCYN","TDWG Level 4 code","native"
721,"MLYSI","TDWG Level 4 code","native"
723,"MLWOO","TDWG Level 4 code","native"
726,"50","TDWG Level 4 code","native"
729,"BORKA,JAWOO,LSIBA,LSILS,MOLOO,NWGIJ,SULOO,SUMOO","TDWG Level 4 code","native"
729,"SAMWS","TDWG Level 4 code","native"
730,"BORKA,JAWOO,LSIBA,LSILS,MOLOO,NWGIJ,SULOO,SUMOO","TDWG Level 4 code","native"
731,"IND","TDWG Level 4 code","native"
732,"BORKA,JAWOO,LSIBA,LSILS,MOLOO,NWGIJ,SULOO,SUMOO","TDWG Level 4 code","native"
733,"PHIOO","TDWG Level 4 code","native"
734,"BORKA,JAWOO,LSIBA,LSILS,MOLOO,NWGIJ,SULOO,SUMOO","TDWG Level 4 code","native"
734,"IND","TDWG Level 4 code","native"
734,"MLYSI","TDWG Level 4 code","native"
734,"MYAOO","TDWG Level 4 code","native"
734,"PHIOO","TDWG Level 4 code","native"
735,"BZNPA","TDWG Level 4 code","native"
736,"50","TDWG Level 4 code","native"
737,"50","TDWG Level 4 code","native"
738,"CHNGS","TDWG Level 4 code","native"
