"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
19124,13067,"incurva","(Melichar, 1901)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27106&page=explorer&db=flow",,
19126,13080,"tenella","(Walker, 1851)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27109&page=explorer&db=flow",,
19127,13080,"lutescens","Melichar, 1901",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27110&page=explorer&db=flow",,
19133,19132,"nigrescens","Fennah, 1965",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27117&page=explorer&db=flow",,
19183,19182,"lophion","(Kramer, 1979)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27190&page=explorer&db=flow",,
19184,19182,"alpha","(Kramer, 1979)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27191&page=explorer&db=flow",,
19203,8515,"mimica","Fennah, 1952",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27224&page=explorer&db=flow",,
19204,8515,"ramosa","Kramer, 1976",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27225&page=explorer&db=flow",,
19205,8515,"cymula","Kramer, 1976",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27226&page=explorer&db=flow",,
19261,11670,"periphas","Fennah, 1971",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27299&page=explorer&db=flow",,
19275,10684,"var. thoracicus","(Guérin-Méneville, 1856)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27315&page=explorer&db=flow",,
19285,18964,"reductus","Caldwell, 1951",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27332&page=explorer&db=flow",,
19392,8292,"maricensis","(Caldwell, 1951)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27489&page=explorer&db=flow",,
19395,15205,"sinis","Fennah, 1967",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27493&page=explorer&db=flow",,
19396,15205,"tutuilana","Fennah, 1967",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27494&page=explorer&db=flow",,
19397,15205,"upoluana","Fennah, 1967",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27495&page=explorer&db=flow",,
19419,601,"epona","Fennah, 1965",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27519&page=explorer&db=flow",,
19421,7570,"salsus","Ball, 1937",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27522&page=explorer&db=flow",,
19430,3491,"melanuris","Fennah, 1980",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27533&page=explorer&db=flow",,
19432,19431,"azopifajo","Remane & Asche, 1979",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27535&page=explorer&db=flow",,
19433,19431,"azojo","Remane & Asche, 1979",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27536&page=explorer&db=flow",,
19435,19434,"azoricus","Lindberg, 1954",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27538&page=explorer&db=flow",,
